City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,Castro,-24.7911,-50.0119,79.77,60,23,3.98,BR,1616521543
133,Lüderitz,-26.6481,15.1594,67.41,75,17,6.89,NA,1616521543
134,Okha,53.5739,142.9478,-4.97,73,49,17.94,RU,1616521543
135,Manggar,-2.8833,108.2667,79.54,78,95,3.18,ID,1616521543
136,Gambiran,-6.7988,111.4951,75.27,92,100,3.83,ID,1616521544
137,Katsuura,35.1333,140.3,52.0,66,20,9.22,JP,1616521544
138,Rio Grande,-32.035,-52.0986,75.2,83,90,2.3,BR,1616521277
139,Qui Nhon,13.7667,109.2333,72.09,90,97,10.76,VN,1616521346
140,Le Vauclin,14.5452,-60.8388,84.2,58,20,18.41,MQ,1616521544
141,Moree,-29.4667,149.85,68.0,83,75,10.36,AU,1616521545
142,Boffa,10.1667,-14.0333,83.23,50,26,11.97,GN,1616521545
143,Provincie Utrecht,52.0,5.25,50.0,79,25,1.99,NL,1616521279
144,Klaksvík,62.2266,-6.589,46.4,93,75,27.63,FO,1616521545
145,Dukat,62.55,155.55,-6.27,95,100,6.46,RU,1616521546
146,Yeppoon,-23.1333,150.7333,77.0,94,90,6.91,AU,1616521546
147,Daru,-9.0763,143.2092,80.33,85,100,6.33,PG,1616521546
148,Nassogne,50.1285,5.3427,50.0,62,20,3.44,BE,1616521547
149,Maragogi,-9.0122,-35.2225,83.71,64,40,10.29,BR,1616521472
150,Campbell River,50.0163,-125.2446,43.0,81,90,2.26,CA,1616521547
151,Bredasdorp,-34.5322,20.0403,68.0,77,2,13.8,ZA,1616521547
152,Norman Wells,65.282,-126.8329,-2.2,71,20,16.11,CA,1616521547
153,Kapaa,22.0752,-159.319,64.4,88,1,8.05,US,1616521548
154,Cap Malheureux,-19.9842,57.6142,81.0,83,8,1.99,MU,1616521548
155,Ucluelet,48.9329,-125.5528,43.0,93,90,2.3,CA,1616521548
156,Bambous Virieux,-20.3428,57.7575,81.0,89,75,6.91,MU,1616521549
157,Tasiilaq,65.6145,-37.6368,15.8,67,40,12.66,GL,1616521549
158,Hamilton,39.1834,-84.5333,66.99,42,75,8.05,US,1616521434
159,Broome,42.2506,-75.833,64.0,30,1,9.22,US,1616521550
160,Miltenberg,49.7039,9.2644,42.01,74,60,0.96,DE,1616521550
161,Biak,-0.9131,122.8766,75.96,85,91,1.7,ID,1616521550
162,Oskemen,49.9565,82.6119,46.4,46,90,15.66,KZ,1616521550
163,Yellowknife,62.456,-114.3525,-7.01,59,90,10.36,CA,1616521480
164,Yatou,37.15,122.3833,44.44,85,35,12.35,CN,1616521551
165,Marzuq,14.4,46.4667,68.92,36,0,7.14,YE,1616521551
166,Yudong,29.385,106.5194,51.01,81,0,8.95,CN,1616521551
167,Hofn,64.2539,-15.2082,38.98,45,100,6.69,IS,1616521552
168,Longyearbyen,78.2186,15.6401,24.8,68,40,11.5,SJ,1616521296
169,Rūdarpur,26.4394,83.6144,80.38,18,63,5.68,IN,1616521552
170,Lebu,-37.6167,-73.65,62.85,73,51,10.94,CL,1616521552
171,Pisco,-13.7,-76.2167,75.2,64,0,9.22,PE,1616521553
172,Zaysan,47.4667,84.8667,35.17,81,100,5.32,KZ,1616521553
173,Quelimane,-17.8786,36.8883,74.12,93,13,5.23,MZ,1616521470
174,Krasnosel'kup,65.7,82.4667,17.65,94,100,14.14,RU,1616521553
175,Esperance,-33.8667,121.9,57.2,72,75,3.44,AU,1616521554
176,Carauari,-4.8828,-66.8958,82.62,78,100,3.8,BR,1616521554
177,Sambava,-14.2667,50.1667,78.39,85,100,2.46,MG,1616521554
178,Bethel,41.3712,-73.414,64.99,32,1,3.44,US,1616521554
179,Nipawin,53.3668,-104.0009,6.8,61,1,11.5,CA,1616521555
180,Torbay,47.6666,-52.7314,57.2,26,1,25.32,CA,1616521555
181,Aksu,41.1231,80.2644,51.06,36,87,3.71,CN,1616521555
182,Lake Charles,30.2131,-93.2044,75.2,73,1,10.36,US,1616521556
183,Souillac,-20.5167,57.5167,80.6,89,75,6.91,MU,1616521556
184,Saint George,37.1041,-113.5841,55.99,43,20,5.75,US,1616521261
185,Dhārchula,29.85,80.5333,57.38,61,89,5.84,IN,1616521556
186,Morganton,35.7454,-81.6848,63.0,63,90,5.75,US,1616521556
187,Langsa,4.4683,97.9683,72.9,96,89,5.88,ID,1616521557
